name,year,total_usage,peak_min,prev_max,post_max,is_peak
David,1987,36988,33818,42304,30468,false
David,1988,35503,30468,42179,28481,false
David,1989,35303,28481,40836,27073,false
David,1990,33818,27073,40646,24904,false
David,1991,30468,24904,39469,23070,false
David,1992,28481,23070,38750,23042,false
David,1993,27073,23042,38750,21891,false
David,1994,24904,21891,37358,20896,false
David,1995,23070,20896,36988,20336,false
David,1996,23042,20336,35503,19789,false
David,1997,21891,19789,35303,19356,false
David,1998,20896,19356,33818,18685,false
David,1999,20336,18685,30468,18625,false
David,2000,19789,18625,28481,18420,false
David,2001,19356,18420,27073,18122,false
David,2002,18685,18122,24904,17627,false
David,2003,18625,17627,23070,17542,false
David,2004,18420,17542,23042,16318,false
David,2005,18122,16318,21891,15433,false
David,2006,17627,15433,20896,14196,false
David,2007,17542,14196,20336,13222,false
David,2008,16318,13222,19789,12530,false
David,2009,15433,12530,19356,12348,false
David,2010,14196,12348,18685,12195,false
David,2011,13222,12195,18625,11788,false
David,2012,12530,11788,18420,11089,false
David,2013,12348,11089,18122,10124,false
David,2014,12195,10124,17627,,false
David,2015,11788,10124,17542,,false
David,2016,11089,10124,16318,,false
David,2017,10124,10124,15433,,false
Elizabeth,1910,5792,5792,,15858,false
Elizabeth,1911,6295,5792,,15858,false
Elizabeth,1912,8520,5792,,15915,false
Elizabeth,1913,9503,5792,,15915,false
Elizabeth,1914,11375,6295,5792,15915,false
Elizabeth,1915,14103,8520,6295,15915,false
Elizabeth,1916,14945,9503,8520,15915,false
Elizabeth,1917,15127,11375,9503,15810,false
Elizabeth,1918,15858,14103,11375,15458,false
Elizabeth,1919,15285,14945,14103,15458,false
Elizabeth,1920,15915,15127,14945,14951,true
Elizabeth,1921,15810,14951,15127,13935,false
Elizabeth,1922,15248,13935,15858,12847,false
Elizabeth,1923,15458,12847,15858,12550,false
Elizabeth,1924,14951,12550,15915,11778,false
Elizabeth,1925,13935,11778,15915,11272,false
Elizabeth,1926,12847,11272,15915,11009,false
Elizabeth,1927,12550,11009,15915,10299,false
Elizabeth,1928,11778,10299,15915,10010,false
Elizabeth,1929,11272,10010,15810,9393,false
Elizabeth,1930,11009,9019,15458,9805,false
Elizabeth,1931,10299,9019,15458,9805,false
Elizabeth,1932,10010,9019,14951,9956,false
Elizabeth,1933,9019,8870,13935,10271,false
Elizabeth,1934,9348,8870,12847,11182,false
Elizabeth,1935,9093,8870,12550,11646,false
Elizabeth,1936,8870,8870,11778,11646,false
Elizabeth,1937,9393,8870,11272,11646,false
Elizabeth,1938,9805,8870,11009,11752,false
Elizabeth,1939,9712,8870,10299,13441,false
Elizabeth,1940,9956,9393,10010,13441,false
Elizabeth,1941,10271,9712,9393,13712,false
Elizabeth,1942,11182,9712,9805,14349,false
