year,name,total_usage
1988,Elizabeth,20094
1947,Elizabeth,13441
1956,Elizabeth,16340
1969,Elizabeth,15314
1970,Elizabeth,15152
1914,Elizabeth,11375
1954,Elizabeth,16587
1990,Elizabeth,20802
1917,Elizabeth,15127
2010,Elizabeth,10260
2004,Elizabeth,13608
1953,Elizabeth,16092
2008,Elizabeth,12007
1958,Elizabeth,18540
1939,Elizabeth,9712
1975,Elizabeth,12491
1991,Elizabeth,20434
1995,Elizabeth,16198
1938,Elizabeth,9805
1968,Elizabeth,14904
1952,Elizabeth,16023
1997,Elizabeth,15427
2000,Elizabeth,15099
1918,Elizabeth,15858
1965,Elizabeth,16338
2017,Elizabeth,8915
1978,Elizabeth,16850
1928,Elizabeth,11778
1944,Elizabeth,11038
1921,Elizabeth,15810
1998,Elizabeth,15186
1963,Elizabeth,17610
2005,Elizabeth,12729
2011,Elizabeth,10084
2007,Elizabeth,13055
1910,Elizabeth,5792
1931,Elizabeth,10299
1977,Elizabeth,16461
1973,Elizabeth,12365
1927,Elizabeth,12550
1949,Elizabeth,13712
2002,Elizabeth,14600
1964,Elizabeth,17296
1951,Elizabeth,15120
1942,Elizabeth,11182
2014,Elizabeth,9557
1972,Elizabeth,12213
2003,Elizabeth,14108
1932,Elizabeth,10010
1926,Elizabeth,12847
2015,Elizabeth,9724
1961,Elizabeth,18878
1992,Elizabeth,19066
1966,Elizabeth,15904
1986,Elizabeth,19123
1983,Elizabeth,19896
1960,Elizabeth,18880
2012,Elizabeth,9703
1925,Greg,5
2017,Greg,5
1945,Ryan,5
1920,Ryan,5
1934,Ryan,5
1910,Terry,5
1911,Terry,5
1920,Brenda,5
1923,Brenda,5
1919,Brenda,5
2014,Greg,6
1921,Ryan,6
1925,Ryan,6
1934,Randy,6
1922,Brenda,6
1993,Greg,77
1995,Greg,77
1954,Ryan,77
1935,Brenda,77
