name,window_fn,pct_ratio
Davide,0.23333333333333334,1.2
Jodelle,0.23809523809523808,1.2
Sokhna,0.23333333333333334,1.2
Rubina,0.21428571428571427,1.2
Opie,5.7666666666666666,1.7
Maximina,3.3666666666666667,1.7
Tennessee,5.4666666666666668,1.7
Isela,1467.2407592407592,12.2875
Anvi,222.58974358974359,7.3000000000000007
Shon,4654.3404255319147,30.950000000000003
Brady,1368852.6499735496,106.80000000000003
Liseth,29.544973544973544,3.1578947368421053
Perseus,55.904761904761905,2.9024390243902443
Ladarius,5598.2857142857147,11.694444444444445
Kyrin,614.73076923076928,7.7222222222222223
Mack,34261.911388023538,8.7125850340136033
Mistie,769.42292490118575,12.612903225806452
Braxton,999761.555175038,434.73076923076923
Mason,24356768.140539587,386.01470588235293
Carsyn,4555.2514619883041,5.0588235294117645
Rajohn,5.333333333333333,1.64
Yarethzy,5.333333333333333,1.64
Alyzae,5.333333333333333,1.64
Kensli,21.333333333333332,2.2800000000000002
Abdurrahman,8.7205882352941178,2.2800000000000002
Kaelie,3.2857142857142856,1.6400000000000001
Shinichi,2.7111111111111112,1.6400000000000001
Matisse,2.9523809523809526,1.6400000000000001
Blondie,3.9821428571428572,1.6400000000000001
Shanavia,3.2380952380952381,1.6400000000000001
Floree,2.2526315789473683,1.6400000000000001
Ezell,157.73710317460316,7.1698113207547163
Cinnamon,985.2807881773399,9.1200000000000028
Shelvie,240.0,5.7586206896551735
Imogen,1664.9852941176471,13.121951219512198
Cayla,22375.59388335704,19.35265700483092
Alexandra,10207576.35952381,548.01428571428573
Maci,256981.66028225806,74.435028248587543
Rohan,33064.420512820514,65.695652173913047
Shavonda,185.94117647058823,6.0666666666666664
Stacia,4290.3356164383558,27.266666666666666
Shareka,81.142857142857139,2.9090909090909092
Jolee,799.23678160919542,10.949152542372882
Maddix,407.60256410256409,3.7052631578947373
Deborha,117.06666666666666,6.32
Jenee,204.30871212121212,7.32
Kenyetta,771.6672268907563,15.64
Sherra,0.14285714285714285,1.08
Peaches,3.0714285714285716,1.58
Abrahim,2.5535714285714284,1.58
Carie,5336.8860887096771,16.78
Joyel,480.5,4.0617283950617287
Remmel,4.5,1.4528301886792454
Yariana,4.5,1.4528301886792454
Alease,131.59390243902439,5.2857142857142856
Fara,51.719696969696969,4.3200000000000012
Aren,71.080672268907563,5.3200000000000012
Coy,3444.5109034267912,4.1617021276595745
Myrta,0.95238095238095233,1.3214285714285716
Mindee,0.95238095238095233,1.3214285714285716
Korbin,29721.641025641027,38.912280701754383
Simone,43522.788584740825,39.221374045801525
Jazlyn,74027.2564102564,38.6060606060606
Magaly,1458.6910900045229,12.604651162790699
Pennelope,10.333333333333334,1.9230769230769229
Marlena,7880.3303508771933,13.379310344827585
Hideo,201.86615384615385,6.6923076923076925
Rheanna,79.415322580645167,5.0784313725490193
Baylee,104404.23448275862,18.79664570230608
Tiara,184239.54209065679,138.53658536585365
Blake,4869258.6118601747,1039.48
Treshaun,5.75,2.04
Nazaria,11.5,2.04
Yailyn,11.333333333333334,2.04
Ilyssa,15.694736842105263,2.04
Clarity,28.0,3.04
Lakeya,140.05555555555554,6.58
Iyonna,362.89210526315787,10.16
Isac,742.22475106685636,15.66
Jermiah,1058.155303030303,16.32
Eddie,1475517.9552613362,6.1263917202446292
Joleigh,36.455555555555556,2.4067796610169494
Luke,11549102.064641744,122.85617367706919
Dominik,26672.584946236559,34.416666666666664
Parsa,20.69047619047619,2.6666666666666665
Odelia,18.121634615384615,2.6666666666666665
Jayvin,43.763636363636365,2.6666666666666665
Phong,56.117647058823529,3.1666666666666665
Jarius,223.38949275362319,6.333333333333333
Joslyn,18064.154545454545,60.666666666666664
Andreana,38.21290322580645,3.1666666666666674
Ibrahim,51202.549275362318,66.411764705882362
Merwyn,1.3571428571428572,1.46
Viggo,20.810606060606062,2.8688524590163937
Sudais,63.7,2.7954545454545454
Franklyn,187.13188118811883,4.0909090909090908
Abilene,55.623333333333335,4.8400000000000007
Thu,92.365789473684217,5.3400000000000007
Kassi,211.95156695156695,7.8400000000000007
Karmello,12.8,1.9600000000000002
Samarion,12.0,1.9600000000000002
Chyann,20.9010989010989,1.9600000000000002
Aquila,8.0,1.9600000000000002
Bransen,9.6428571428571423,1.9600000000000002
Giada,11293.296703296703,5.1118210862619806
Lev,1215.0625,10.105263157894736
Juanita,2396850.8649186571,37.232766338406449
Bladimir,96.523185483870961,5.8431372549019605
Jaylin,104403.46,4.8344760039177279
Moriah,25600.682608695653,43.047619047619051
Mykel,521.38257575757575,5.615384615384615
Peggy,9844069.8649496082,168.51082251082249
Bridger,4409.2217741935483,27.887096774193548
Alinna,53.878787878787875,3.6984126984126986
Rielle,9.4666666666666668,2.3
Nely,18.214285714285715,2.8
Naylani,21.066666666666666,2.8
Leanore,19.0,2.8
Selwyn,13.517316017316018,2.8
Tomi,18.637873754152825,2.8
Niasia,34.763532763532766,3.8
Sheba,91.235294117647058,3.8
Harman,29.212121212121211,3.8
Abubakar,68.872727272727275,4.6
Shamara,77.384615384615387,5.1
Mayer,129.80288461538461,7.6
Keysha,232.08300395256916,8.2
Haruki,0.8392857142857143,1.4
Olamide,2.6666666666666665,1.4
Anahita,0.95238095238095233,1.4
Nissim,1.0909090909090908,1.4
Melida,0.75714285714285712,1.4
Artavious,1.6181818181818182,1.4
Urie,1.2,1.4
Wenceslao,1.0909090909090908,1.4
Arloa,0.80952380952380953,1.4
Docia,1.4666666666666666,1.4
Joelene,2.141025641025641,1.4
Kalon,2.8787878787878789,1.4
Atlee,0.94957983193277307,1.4
Teofilo,3.3301587301587303,1.9
Conall,8.25,1.9
Luciana,43004.581818181818,94.1
Kamsiyochukwu,10.0,1.7945205479452055
Meosha,23.366666666666667,2.3000000000000003
Kristeen,21.881578947368421,2.3000000000000003
Yuna,994.04093567251459,14.200000000000001
Sander,2.6,1.4000000000000001
Eusebio,65.158318773053779,3.4875000000000003
Hayes,30310.225882352941,60.800000000000011
Nataleigh,185.98095238095237,7.7407407407407414
Sharyn,40126.306620209056,31.344827586206897
Bernice,3751792.9532710281,109.26652892561984
Sadi,0.66666666666666663,1.2641509433962266
Rontavious,0.66666666666666663,1.2641509433962266
Tajanae,55.5,2.7931034482758625
Karrie,16761.532850241547,22.419354838709676
Aanya,7370.1323529411766,37.178571428571431
Kajal,37.3,2.7142857142857144
Haze,39.0,2.7142857142857149
Tinisha,54.889705882352942,3.9642857142857149
Cassadee,72.0,1.8571428571428574
Atarah,2048.0,5.4912280701754383
Rachel,27695594.640619591,12.969238527483611
Keely,16825.573728813561,17.4390243902439
Madai,11.929824561403509,2.68
Cal,587.1053555750658,10.72
Braulio,1965.5068352699932,19.44
Fantasia,1313.878787878788,19.44
Gryphon,0.91666666666666663,1.34
Modene,0.91666666666666663,1.34
Alabama,0.91666666666666663,1.34
Dayna,9375.2205231388325,15.888888888888889
Natale,34.851551956815115,3.6800000000000006
Alexzandria,120.5071225071225,6.3600000000000012
Kimmy,6.0256410256410255,1.8400000000000003
Yurani,722.0,2.1343283582089554
Gene,1229814.3997057804,83.662857142857149
Brantly,195.3,2.5568181818181817
Christiano,87.295454545454547,4.7884615384615383
Avleen,73.3,2.5192307692307696
Ariza,122.89583333333333,2.7692307692307696
Ryland,32164.879374641423,68.866666666666674
Rosalva,210.94237288135594,7.3666666666666671
Jeremey,1260.297379032258,16.716666666666669
Alanzo,15.8,2.56
Mikela,17.553571428571427,2.56
Peri,88.013131313131311,5.12
Shatara,1423.3131578947368,15.24
January,4657.638095238095,30.48
Chimene,220.5,3.0740740740740744
Keondra,233.38888888888889,7.0701754385964906
Johna,71.692436974789914,3.5600000000000009
Evangelina,953.48212039532791,3.7413793103448274
Klarisa,3.3,1.72
Michaelangelo,95.820168067226888,4.8518518518518521
Aiyanah,27.0,2.4400000000000004
Isaih,82.023333333333326,5.8800000000000008
Suraj,54.634199134199136,4.88235294117647
Terence,65110.746732673266,42.058823529411768
Asiya,983.45,9.764705882352942
Tayshawn,692.810606060606,13.764705882352942
Samiyah,10093.075757575758,14.764705882352942
Tylee,112.82352941176471,5.3833333333333329
Azarias,5.333333333333333,1.5333333333333332
Marvens,16.747252747252748,2.5666666666666669
Mariaguadalupe,47.168346774193552,3.8166666666666669
